"","ID","scenario","pos.score","pre.score","dif.score"
"1","P01","gamified",8,6,2
"2","P02","gamified",10,8,2
"3","P03","gamified",8,7,1
"4","P04","gamified",9,7,2
"5","P05","gamified",9,7,2
"6","P06","gamified",10,8,2
"7","P07","gamified",9,8,1
"8","P08","gamified",7,5,2
"9","P09","gamified",10,8,2
"10","P10","gamified",10,7,3
"11","P11","gamified",10,7,3
"12","P12","gamified",9,6,3
"13","P13","gamified",9,6,3
"14","P14","gamified",9,8,1
"15","P15","non.gamified",7,7,0
"16","P16","non.gamified",7,8,-1
"17","P17","gamified",8,6,2
"18","P18","non.gamified",8,7,1
"19","P19","non.gamified",7,7,0
"20","P20","non.gamified",8,7,1
"21","P21","non.gamified",6,6,0
"22","P22","non.gamified",8,8,0
"23","P23","non.gamified",6,6,0
"24","P24","non.gamified",8,8,0
"25","P25","non.gamified",6,6,0
"26","P26","non.gamified",7,7,0
"27","P27","non.gamified",5,4,1
"28","P28","non.gamified",8,8,0
"29","P29","non.gamified",6,6,0
"30","P30","non.gamified",8,8,0
"31","P31","non.gamified",7,5,2
"32","P32","gamified",8,7,1
